"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)",
"1400000US37019020107","Census Tract 201.07; Brunswick County; North Carolina","69572","10904",
"1400000US37019020108","Census Tract 201.08; Brunswick County; North Carolina","60128","7426",
"1400000US37019020201","Census Tract 202.01; Brunswick County; North Carolina","77063","16848",
"1400000US37019020203","Census Tract 202.03; Brunswick County; North Carolina","83750","12450",
"1400000US37019020204","Census Tract 202.04; Brunswick County; North Carolina","60202","9976",
"1400000US37019020205","Census Tract 202.05; Brunswick County; North Carolina","100625","19013",
"1400000US37019020206","Census Tract 202.06; Brunswick County; North Carolina","65573","39650",
"1400000US37019020304","Census Tract 203.04; Brunswick County; North Carolina","101521","13195",
"1400000US37019020305","Census Tract 203.05; Brunswick County; North Carolina","71734","10710",
"1400000US37019020306","Census Tract 203.06; Brunswick County; North Carolina","70352","6963",
"1400000US37019020307","Census Tract 203.07; Brunswick County; North Carolina","205000","12881",
"1400000US37019020308","Census Tract 203.08; Brunswick County; North Carolina","98819","13859",
"1400000US37019020311","Census Tract 203.11; Brunswick County; North Carolina","68939","19873",
"1400000US37019020312","Census Tract 203.12; Brunswick County; North Carolina","72564","23482",
"1400000US37019020313","Census Tract 203.13; Brunswick County; North Carolina","84045","20814",
"1400000US37019020314","Census Tract 203.14; Brunswick County; North Carolina","89750","84853",
"1400000US37019020315","Census Tract 203.15; Brunswick County; North Carolina","66250","18120",
"1400000US37019020316","Census Tract 203.16; Brunswick County; North Carolina","106389","21060",
"1400000US37019020404","Census Tract 204.04; Brunswick County; North Carolina","48472","13802",
"1400000US37019020405","Census Tract 204.05; Brunswick County; North Carolina","58105","14822",
"1400000US37019020406","Census Tract 204.06; Brunswick County; North Carolina","110000","14507",
"1400000US37019020407","Census Tract 204.07; Brunswick County; North Carolina","93194","33988",
"1400000US37019020408","Census Tract 204.08; Brunswick County; North Carolina","51782","26327",
"1400000US37019020409","Census Tract 204.09; Brunswick County; North Carolina","45625","13951",
"1400000US37019020504","Census Tract 205.04; Brunswick County; North Carolina","89408","15656",
"1400000US37019020505","Census Tract 205.05; Brunswick County; North Carolina","56952","5476",
"1400000US37019020508","Census Tract 205.08; Brunswick County; North Carolina","107969","13216",
"1400000US37019020510","Census Tract 205.10; Brunswick County; North Carolina","77159","24113",
"1400000US37019020511","Census Tract 205.11; Brunswick County; North Carolina","88512","16342",
"1400000US37019020512","Census Tract 205.12; Brunswick County; North Carolina","100547","10089",
"1400000US37019020513","Census Tract 205.13; Brunswick County; North Carolina","68105","7244",
"1400000US37019020514","Census Tract 205.14; Brunswick County; North Carolina","70739","13863",
"1400000US37019020515","Census Tract 205.15; Brunswick County; North Carolina","64901","10267",
"1400000US37019020516","Census Tract 205.16; Brunswick County; North Carolina","73812","9063",
"1400000US37019020517","Census Tract 205.17; Brunswick County; North Carolina","75726","19194",
"1400000US37019020518","Census Tract 205.18; Brunswick County; North Carolina","82279","26443",
"1400000US37019020601","Census Tract 206.01; Brunswick County; North Carolina","55682","11658",
"1400000US37019020602","Census Tract 206.02; Brunswick County; North Carolina","70954","7976",
"1400000US37019020603","Census Tract 206.03; Brunswick County; North Carolina","63859","13950",
"1400000US37019990100","Census Tract 9901; Brunswick County; North Carolina","-","**",
"1400000US37021000100","Census Tract 1; Buncombe County; North Carolina","20455","3474",
"1400000US37021000200","Census Tract 2; Buncombe County; North Carolina","54167","34675",
"1400000US37021000300","Census Tract 3; Buncombe County; North Carolina","48235","26338",
"1400000US37021000400","Census Tract 4; Buncombe County; North Carolina","58585","10764",
"1400000US37021000500","Census Tract 5; Buncombe County; North Carolina","107009","18613",
"1400000US37021000600","Census Tract 6; Buncombe County; North Carolina","61675","9846",
"1400000US37021000700","Census Tract 7; Buncombe County; North Carolina","70109","9478",
"1400000US37021000800","Census Tract 8; Buncombe County; North Carolina","86905","33384",
"1400000US37021000900","Census Tract 9; Buncombe County; North Carolina","30653","11047",
"1400000US37021001000","Census Tract 10; Buncombe County; North Carolina","72150","21261",
"1400000US37021001100","Census Tract 11; Buncombe County; North Carolina","90206","13682",
"1400000US37021001200","Census Tract 12; Buncombe County; North Carolina","65668","11847",
"1400000US37021001300","Census Tract 13; Buncombe County; North Carolina","49300","9226",
"1400000US37021001401","Census Tract 14.01; Buncombe County; North Carolina","40409","10208",
"1400000US37021001402","Census Tract 14.02; Buncombe County; North Carolina","40281","3577",
"1400000US37021001500","Census Tract 15; Buncombe County; North Carolina","69779","34377",
"1400000US37021001601","Census Tract 16.01; Buncombe County; North Carolina","91164","39671",
"1400000US37021001602","Census Tract 16.02; Buncombe County; North Carolina","64783","26458",
"1400000US37021001700","Census Tract 17; Buncombe County; North Carolina","109838","23824",
"1400000US37021001801","Census Tract 18.01; Buncombe County; North Carolina","51936","8846",
"1400000US37021001802","Census Tract 18.02; Buncombe County; North Carolina","102949","30111",
"1400000US37021001900","Census Tract 19; Buncombe County; North Carolina","51622","19701",
"1400000US37021002000","Census Tract 20; Buncombe County; North Carolina","59024","8781",
"1400000US37021002101","Census Tract 21.01; Buncombe County; North Carolina","166563","46686",
"1400000US37021002102","Census Tract 21.02; Buncombe County; North Carolina","57945","12770",
"1400000US37021002203","Census Tract 22.03; Buncombe County; North Carolina","60052","13650",
"1400000US37021002204","Census Tract 22.04; Buncombe County; North Carolina","74351","14798",
"1400000US37021002205","Census Tract 22.05; Buncombe County; North Carolina","85657","9517",
"1400000US37021002206","Census Tract 22.06; Buncombe County; North Carolina","105462","24358",
"1400000US37021002303","Census Tract 23.03; Buncombe County; North Carolina","89975","13007",
"1400000US37021002304","Census Tract 23.04; Buncombe County; North Carolina","124583","40852",
"1400000US37021002305","Census Tract 23.05; Buncombe County; North Carolina","72166","8665",
"1400000US37021002306","Census Tract 23.06; Buncombe County; North Carolina","61502","10667",
"1400000US37021002401","Census Tract 24.01; Buncombe County; North Carolina","44977","17103",
"1400000US37021002402","Census Tract 24.02; Buncombe County; North Carolina","68750","21801",
"1400000US37021002503","Census Tract 25.03; Buncombe County; North Carolina","54962","10720",
"1400000US37021002504","Census Tract 25.04; Buncombe County; North Carolina","78341","11964",
"1400000US37021002505","Census Tract 25.05; Buncombe County; North Carolina","85655","24095",
"1400000US37021002506","Census Tract 25.06; Buncombe County; North Carolina","48529","18274",
"1400000US37021002603","Census Tract 26.03; Buncombe County; North Carolina","62688","9271",
"1400000US37021002604","Census Tract 26.04; Buncombe County; North Carolina","76475","8062",
"1400000US37021002606","Census Tract 26.06; Buncombe County; North Carolina","52670","34549",
"1400000US37021002607","Census Tract 26.07; Buncombe County; North Carolina","77348","16648",
"1400000US37021002608","Census Tract 26.08; Buncombe County; North Carolina","61683","13676",
"1400000US37021002609","Census Tract 26.09; Buncombe County; North Carolina","110938","35894",
"1400000US37021002701","Census Tract 27.01; Buncombe County; North Carolina","78821","14128",
"1400000US37021002702","Census Tract 27.02; Buncombe County; North Carolina","88708","26346",
"1400000US37021002704","Census Tract 27.04; Buncombe County; North Carolina","87104","10334",
"1400000US37021002705","Census Tract 27.05; Buncombe County; North Carolina","85395","27019",
"1400000US37021002803","Census Tract 28.03; Buncombe County; North Carolina","62399","19025",
"1400000US37021002804","Census Tract 28.04; Buncombe County; North Carolina","77000","19566",
"1400000US37021002900","Census Tract 29; Buncombe County; North Carolina","68288","10323",
"1400000US37021003002","Census Tract 30.02; Buncombe County; North Carolina","73083","4933",
"1400000US37021003003","Census Tract 30.03; Buncombe County; North Carolina","65179","15080",
"1400000US37021003004","Census Tract 30.04; Buncombe County; North Carolina","83139","15425",
"1400000US37021003103","Census Tract 31.03; Buncombe County; North Carolina","79667","11472",
"1400000US37021003105","Census Tract 31.05; Buncombe County; North Carolina","75329","15442",
"1400000US37021003106","Census Tract 31.06; Buncombe County; North Carolina","58315","13885",
"1400000US37021003107","Census Tract 31.07; Buncombe County; North Carolina","76310","28146",
"1400000US37021003108","Census Tract 31.08; Buncombe County; North Carolina","-","**",
"1400000US37021003201","Census Tract 32.01; Buncombe County; North Carolina","96042","11085",
"1400000US37021003202","Census Tract 32.02; Buncombe County; North Carolina","87917","17315",
"1400000US37021003203","Census Tract 32.03; Buncombe County; North Carolina","64956","26429",
"1400000US37021003204","Census Tract 32.04; Buncombe County; North Carolina","89453","31572",
"1400000US37021003205","Census Tract 32.05; Buncombe County; North Carolina","40543","21044",
"1400000US37023020100","Census Tract 201; Burke County; North Carolina","47896","7962",
"1400000US37023020202","Census Tract 202.02; Burke County; North Carolina","63537","5903",
"1400000US37023020203","Census Tract 202.03; Burke County; North Carolina","96013","13722",
"1400000US37023020204","Census Tract 202.04; Burke County; North Carolina","65326","15383",
"1400000US37023020301","Census Tract 203.01; Burke County; North Carolina","48175","5519",
"1400000US37023020303","Census Tract 203.03; Burke County; North Carolina","69007","11967",
"1400000US37023020304","Census Tract 203.04; Burke County; North Carolina","58200","23331",
"1400000US37023020500","Census Tract 205; Burke County; North Carolina","59402","18980",
"1400000US37023020600","Census Tract 206; Burke County; North Carolina","38945","15906",
"1400000US37023020801","Census Tract 208.01; Burke County; North Carolina","59392","4872",
"1400000US37023020802","Census Tract 208.02; Burke County; North Carolina","60541","14050",
"1400000US37023020901","Census Tract 209.01; Burke County; North Carolina","64333","11402",
"1400000US37023020902","Census Tract 209.02; Burke County; North Carolina","67807","19679",
"1400000US37023021000","Census Tract 210; Burke County; North Carolina","54159","7229",
"1400000US37023021100","Census Tract 211; Burke County; North Carolina","63092","13708",
"1400000US37023021201","Census Tract 212.01; Burke County; North Carolina","63021","23794",
"1400000US37023021202","Census Tract 212.02; Burke County; North Carolina","52827","12604",
"1400000US37023021203","Census Tract 212.03; Burke County; North Carolina","51850","11281",
"1400000US37023021301","Census Tract 213.01; Burke County; North Carolina","52330","6576",
"1400000US37023021302","Census Tract 213.02; Burke County; North Carolina","60320","16924",
"1400000US37023021400","Census Tract 214; Burke County; North Carolina","47664","8582",
"1400000US37025040501","Census Tract 405.01; Cabarrus County; North Carolina","89644","10912",
"1400000US37025040502","Census Tract 405.02; Cabarrus County; North Carolina","70483","16903",
"1400000US37025040600","Census Tract 406; Cabarrus County; North Carolina","79366","23740",
"1400000US37025040701","Census Tract 407.01; Cabarrus County; North Carolina","53636","15266",
"1400000US37025040703","Census Tract 407.03; Cabarrus County; North Carolina","39643","19787",
"1400000US37025040704","Census Tract 407.04; Cabarrus County; North Carolina","59000","5667",
"1400000US37025040705","Census Tract 407.05; Cabarrus County; North Carolina","74139","17181",
"1400000US37025040800","Census Tract 408; Cabarrus County; North Carolina","51290","7705",
"1400000US37025040900","Census Tract 409; Cabarrus County; North Carolina","59180","20123",
"1400000US37025041001","Census Tract 410.01; Cabarrus County; North Carolina","71298","23727",
"1400000US37025041002","Census Tract 410.02; Cabarrus County; North Carolina","49485","25085",
"1400000US37025041100","Census Tract 411; Cabarrus County; North Carolina","79712","16914",
"1400000US37025041201","Census Tract 412.01; Cabarrus County; North Carolina","53775","11339",
"1400000US37025041202","Census Tract 412.02; Cabarrus County; North Carolina","90887","17746",
"1400000US37025041301","Census Tract 413.01; Cabarrus County; North Carolina","133876","21910",
"1400000US37025041304","Census Tract 413.04; Cabarrus County; North Carolina","134567","24447",
"1400000US37025041305","Census Tract 413.05; Cabarrus County; North Carolina","123661","19790",
"1400000US37025041306","Census Tract 413.06; Cabarrus County; North Carolina","118846","22535",
"1400000US37025041307","Census Tract 413.07; Cabarrus County; North Carolina","188052","27649",
"1400000US37025041503","Census Tract 415.03; Cabarrus County; North Carolina","112572","22915",
"1400000US37025041504","Census Tract 415.04; Cabarrus County; North Carolina","143527","19920",
"1400000US37025041505","Census Tract 415.05; Cabarrus County; North Carolina","151343","15328",
"1400000US37025041506","Census Tract 415.06; Cabarrus County; North Carolina","130000","27200",
"1400000US37025041507","Census Tract 415.07; Cabarrus County; North Carolina","153000","34120",
"1400000US37025041602","Census Tract 416.02; Cabarrus County; North Carolina","73977","26685",
"1400000US37025041603","Census Tract 416.03; Cabarrus County; North Carolina","89114","14587",
"1400000US37025041604","Census Tract 416.04; Cabarrus County; North Carolina","122019","38396",
"1400000US37025041701","Census Tract 417.01; Cabarrus County; North Carolina","80515","9544",
"1400000US37025041702","Census Tract 417.02; Cabarrus County; North Carolina","78333","7212",
"1400000US37025041901","Census Tract 419.01; Cabarrus County; North Carolina","43824","16047",
"1400000US37025041902","Census Tract 419.02; Cabarrus County; North Carolina","58005","17566",
"1400000US37025042000","Census Tract 420; Cabarrus County; North Carolina","66675","23828",
"1400000US37025042101","Census Tract 421.01; Cabarrus County; North Carolina","46742","6255",
"1400000US37025042102","Census Tract 421.02; Cabarrus County; North Carolina","53682","5174",
"1400000US37025042201","Census Tract 422.01; Cabarrus County; North Carolina","76591","27136",
"1400000US37025042202","Census Tract 422.02; Cabarrus County; North Carolina","95714","33298",
"1400000US37025042300","Census Tract 423; Cabarrus County; North Carolina","58554","6872",
"1400000US37025042401","Census Tract 424.01; Cabarrus County; North Carolina","135090","50213",
"1400000US37025042402","Census Tract 424.02; Cabarrus County; North Carolina","39296","5992",
"1400000US37025042501","Census Tract 425.01; Cabarrus County; North Carolina","96780","23794",
"1400000US37025042502","Census Tract 425.02; Cabarrus County; North Carolina","51671","4636",
"1400000US37025042503","Census Tract 425.03; Cabarrus County; North Carolina","95833","22710",
"1400000US37025042504","Census Tract 425.04; Cabarrus County; North Carolina","138500","35442",
"1400000US37025042601","Census Tract 426.01; Cabarrus County; North Carolina","129688","28532",
"1400000US37025042602","Census Tract 426.02; Cabarrus County; North Carolina","75746","8373",
"1400000US37025042603","Census Tract 426.03; Cabarrus County; North Carolina","90369","15103",
"1400000US37025042604","Census Tract 426.04; Cabarrus County; North Carolina","79750","23142",
"1400000US37027030100","Census Tract 301; Caldwell County; North Carolina","43237","7307",
"1400000US37027030200","Census Tract 302; Caldwell County; North Carolina","49692","12156",
"1400000US37027030300","Census Tract 303; Caldwell County; North Carolina","44188","5231",
"1400000US37027030400","Census Tract 304; Caldwell County; North Carolina","43488","9905",
"1400000US37027030500","Census Tract 305; Caldwell County; North Carolina","76275","9579",
"1400000US37027030600","Census Tract 306; Caldwell County; North Carolina","63514","14192",
"1400000US37027030700","Census Tract 307; Caldwell County; North Carolina","52338","8154",
"1400000US37027030801","Census Tract 308.01; Caldwell County; North Carolina","55969","12169",
"1400000US37027030802","Census Tract 308.02; Caldwell County; North Carolina","40809","7333",
"1400000US37027030900","Census Tract 309; Caldwell County; North Carolina","54602","21861",
"1400000US37027031000","Census Tract 310; Caldwell County; North Carolina","53830","20133",
"1400000US37027031100","Census Tract 311; Caldwell County; North Carolina","60739","10173",
"1400000US37027031201","Census Tract 312.01; Caldwell County; North Carolina","54708","7631",
"1400000US37027031202","Census Tract 312.02; Caldwell County; North Carolina","60900","11457",
"1400000US37027031301","Census Tract 313.01; Caldwell County; North Carolina","101659","10049",
"1400000US37027031302","Census Tract 313.02; Caldwell County; North Carolina","70833","15922",
"1400000US37027031401","Census Tract 314.01; Caldwell County; North Carolina","70625","18037",
"1400000US37027031402","Census Tract 314.02; Caldwell County; North Carolina","73933","22765",
"1400000US37027031403","Census Tract 314.03; Caldwell County; North Carolina","42125","7899",
"1400000US37029950101","Census Tract 9501.01; Camden County; North Carolina","91954","8075",
"1400000US37029950102","Census Tract 9501.02; Camden County; North Carolina","78876","5275",
"1400000US37031970101","Census Tract 9701.01; Carteret County; North Carolina","58750","16103",
"1400000US37031970102","Census Tract 9701.02; Carteret County; North Carolina","66184","23013",
"1400000US37031970103","Census Tract 9701.03; Carteret County; North Carolina","70958","18381",
"1400000US37031970200","Census Tract 9702; Carteret County; North Carolina","58750","22702",
"1400000US37031970301","Census Tract 9703.01; Carteret County; North Carolina","67195","15284",
"1400000US37031970304","Census Tract 9703.04; Carteret County; North Carolina","60793","15486",
"1400000US37031970305","Census Tract 9703.05; Carteret County; North Carolina","53958","23171",
"1400000US37031970401","Census Tract 9704.01; Carteret County; North Carolina","36307","16218",
"1400000US37031970402","Census Tract 9704.02; Carteret County; North Carolina","45391","10614",
"1400000US37031970403","Census Tract 9704.03; Carteret County; North Carolina","54209","1750",
"1400000US37031970501","Census Tract 9705.01; Carteret County; North Carolina","44148","13819",
"1400000US37031970502","Census Tract 9705.02; Carteret County; North Carolina","86583","10725",
"1400000US37031970503","Census Tract 9705.03; Carteret County; North Carolina","63393","21730",
"1400000US37031970504","Census Tract 9705.04; Carteret County; North Carolina","108684","23134",
"1400000US37031970601","Census Tract 9706.01; Carteret County; North Carolina","53214","15432",
"1400000US37031970602","Census Tract 9706.02; Carteret County; North Carolina","112344","21244",
"1400000US37031970603","Census Tract 9706.03; Carteret County; North Carolina","51250","25836",
"1400000US37031970606","Census Tract 9706.06; Carteret County; North Carolina","78841","8211",
"1400000US37031970701","Census Tract 9707.01; Carteret County; North Carolina","57660","10514",
"1400000US37031970702","Census Tract 9707.02; Carteret County; North Carolina","65387","17572",
"1400000US37031970703","Census Tract 9707.03; Carteret County; North Carolina","64318","28451",
"1400000US37031970704","Census Tract 9707.04; Carteret County; North Carolina","82813","13948",
"1400000US37031970801","Census Tract 9708.01; Carteret County; North Carolina","66535","5617",
"1400000US37031970804","Census Tract 9708.04; Carteret County; North Carolina","97727","13806",
"1400000US37031970805","Census Tract 9708.05; Carteret County; North Carolina","66548","15142",
"1400000US37031970806","Census Tract 9708.06; Carteret County; North Carolina","71173","4654",
"1400000US37031970903","Census Tract 9709.03; Carteret County; North Carolina","96198","27152",
"1400000US37031970904","Census Tract 9709.04; Carteret County; North Carolina","84750","14335",
"1400000US37031971003","Census Tract 9710.03; Carteret County; North Carolina","103889","11603",
"1400000US37031971103","Census Tract 9711.03; Carteret County; North Carolina","58056","29801",
"1400000US37031980100","Census Tract 9801; Carteret County; North Carolina","-","**",
"1400000US37031990100","Census Tract 9901; Carteret County; North Carolina","-","**",
"1400000US37031990200","Census Tract 9902; Carteret County; North Carolina","-","**",
"1400000US37033930100","Census Tract 9301; Caswell County; North Carolina","57209","29215",
"1400000US37033930200","Census Tract 9302; Caswell County; North Carolina","39539","11752",
"1400000US37033930300","Census Tract 9303; Caswell County; North Carolina","43608","5811",
"1400000US37033930400","Census Tract 9304; Caswell County; North Carolina","59155","12394",
"1400000US37033930500","Census Tract 9305; Caswell County; North Carolina","63000","13726",
"1400000US37033930600","Census Tract 9306; Caswell County; North Carolina","83162","22138",
"1400000US37035010101","Census Tract 101.01; Catawba County; North Carolina","64642","10150",
"1400000US37035010102","Census Tract 101.02; Catawba County; North Carolina","68750","18903",
"1400000US37035010201","Census Tract 102.01; Catawba County; North Carolina","61641","17963",
"1400000US37035010203","Census Tract 102.03; Catawba County; North Carolina","40922","14091",
"1400000US37035010204","Census Tract 102.04; Catawba County; North Carolina","67417","10183",
"1400000US37035010301","Census Tract 103.01; Catawba County; North Carolina","68686","17006",
"1400000US37035010302","Census Tract 103.02; Catawba County; North Carolina","80591","9476",
"1400000US37035010303","Census Tract 103.03; Catawba County; North Carolina","57856","11116",
"1400000US37035010304","Census Tract 103.04; Catawba County; North Carolina","61250","18811",
"1400000US37035010402","Census Tract 104.02; Catawba County; North Carolina","46600","3815",
"1400000US37035010403","Census Tract 104.03; Catawba County; North Carolina","47365","9835",
"1400000US37035010404","Census Tract 104.04; Catawba County; North Carolina","58333","14697",
"1400000US37035010501","Census Tract 105.01; Catawba County; North Carolina","98825","15388",
"1400000US37035010502","Census Tract 105.02; Catawba County; North Carolina","114500","25796",
