#  Watauga County, North Carolina Precipitation
# Units: Inches
# Base Period: 1900-2024
# Missing: -99
Date,Value,Anomaly
191802,1.47,-2.34
191803,3.01,-1.78
191804,5.41,1.03
191805,4.51,-0.32
191806,6.28,1.45
191807,5.34,-0.11
191808,4.31,-0.95
191809,4.81,0.31
191810,12.15,8.20
191811,2.45,-1.30
191812,5.51,1.58
191901,5.66,1.67
191902,3.48,-0.33
191903,3.59,-1.20
191904,4.34,-0.04
191905,7.07,2.24
191906,5.67,0.84
191907,5.47,0.02
191908,4.24,-1.02
191909,2.03,-2.47
191910,4.97,1.02
191911,2.01,-1.74
191912,3.80,-0.13
192001,2.65,-1.34
192002,3.57,-0.24
192003,6.00,1.21
192004,5.61,1.23
192005,2.65,-2.18
192006,5.28,0.45
192007,5.01,-0.44
192008,10.29,5.03
192009,5.77,1.27
192010,0.56,-3.39
192011,4.94,1.19
192012,5.21,1.28
192101,3.98,-0.01
192102,3.86,0.05
192103,2.57,-2.22
192104,4.54,0.16
192105,4.00,-0.83
192106,3.76,-1.07
192107,7.31,1.86
192108,5.82,0.56
192109,3.22,-1.28
192110,4.24,0.29
192111,3.48,-0.27
192112,2.09,-1.84
192201,4.25,0.26
192202,4.07,0.26
192203,6.79,2.00
192204,4.18,-0.20
192205,5.21,0.38
192206,4.88,0.05
192207,8.24,2.79
192208,3.44,-1.82
192209,1.13,-3.37
192210,4.76,0.81
192211,0.99,-2.76
192212,5.36,1.43
192301,4.64,0.65
192302,2.89,-0.92
192303,5.73,0.94
192304,3.57,-0.81
192305,6.97,2.14
192306,5.38,0.55
192307,5.93,0.48
192308,5.68,0.42
192309,3.03,-1.47
192310,1.58,-2.37
192311,3.73,-0.02
192312,3.67,-0.26
192401,5.79,1.80
192402,3.38,-0.43
192403,3.73,-1.06
192404,5.97,1.59
192405,5.19,0.36
192406,4.53,-0.30
192407,6.05,0.60
192408,5.61,0.35
192409,8.07,3.57
192410,1.31,-2.64
192411,1.73,-2.02
192412,3.93,0.00
192501,3.91,-0.08
192502,2.52,-1.29
192503,2.44,-2.35
192504,3.85,-0.53
192505,2.46,-2.37
192506,4.49,-0.34
192507,1.95,-3.50
192508,1.42,-3.84
192509,1.80,-2.70
192510,4.42,0.47
192511,3.75,0.00
192512,1.82,-2.11
192601,5.40,1.41
192602,3.54,-0.27
192603,3.99,-0.80
192604,2.63,-1.75
192605,2.91,-1.92
192606,3.71,-1.12
192607,4.99,-0.46
192608,6.94,1.68
192609,3.59,-0.91
192610,3.39,-0.56
192611,5.96,2.21
192612,5.31,1.38
192701,2.70,-1.29
192702,5.52,1.71
192703,3.13,-1.66
192704,5.56,1.18
192705,5.19,0.36
192706,4.46,-0.37
192707,6.54,1.09
192708,4.77,-0.49
192709,1.98,-2.52
192710,3.29,-0.66
192711,4.61,0.86
192712,6.78,2.85
192801,2.37,-1.62
192802,2.10,-1.71
192803,4.54,-0.25
192804,4.83,0.45
192805,6.87,2.04
192806,6.53,1.70
192807,3.37,-2.08
192808,12.40,7.14
192809,9.10,4.60
192810,4.39,0.44
192811,1.86,-1.89
192812,1.76,-2.17
192901,2.85,-1.14
192902,4.68,0.87
192903,7.08,2.29
192904,3.85,-0.53
192905,7.20,2.37
192906,5.94,1.11
192907,7.87,2.42
192908,2.38,-2.88
192909,5.94,1.44
192910,8.65,4.70
192911,4.03,0.28
192912,2.48,-1.45
193001,2.41,-1.58
193002,1.18,-2.63
193003,4.09,-0.70
193004,2.19,-2.19
193005,4.88,0.05
193006,3.07,-1.76
193007,2.85,-2.60
193008,5.35,0.09
193009,5.32,0.82
193010,2.04,-1.91
193011,4.04,0.29
193012,3.67,-0.26
193101,2.09,-1.90
193102,2.06,-1.75
193103,4.16,-0.63
193104,5.63,1.25
193105,5.50,0.67
193106,3.46,-1.37
193107,7.21,1.76
193108,6.34,1.08
193109,2.56,-1.94
193110,1.16,-2.79
193111,1.36,-2.39
193112,6.58,2.65
193201,5.08,1.09
193202,4.15,0.34
193203,5.24,0.45
193204,3.90,-0.48
193205,5.15,0.32
193206,4.89,0.06
193207,3.74,-1.71
193208,3.96,-1.30
193209,3.00,-1.50
193210,9.43,5.48
193211,3.70,-0.05
193212,6.67,2.74
193301,3.37,-0.62
193302,4.82,1.01
193303,3.13,-1.66
193304,4.89,0.51
193305,7.85,3.02
193306,2.33,-2.50
193307,7.19,1.74
193308,4.24,-1.02
193309,3.22,-1.28
193310,1.84,-2.11
193311,1.14,-2.61
193312,2.39,-1.54
193401,2.24,-1.75
193402,3.02,-0.79
193403,6.57,1.78
193404,4.45,0.07
193405,3.27,-1.56
193406,5.05,0.22
193407,7.21,1.76
193408,6.20,0.94
193409,4.26,-0.24
193410,3.62,-0.33
193411,7.02,3.27
193412,2.95,-0.98
193501,5.58,1.59
193502,2.74,-1.07
193503,8.04,3.25
193504,5.77,1.39
193505,5.05,0.22
193506,3.76,-1.07
193507,8.51,3.06
193508,5.08,-0.18
193509,3.08,-1.42
193510,2.93,-1.02
193511,4.79,1.04
193512,2.46,-1.47
193601,7.14,3.15
193602,3.71,-0.10
193603,6.17,1.38
193604,5.53,1.15
193605,1.61,-3.22
193606,3.28,-1.55
193607,5.18,-0.27
193608,7.31,2.05
193609,5.78,1.28
193610,5.79,1.84
193611,1.75,-2.00
193612,5.05,1.12
193701,9.63,5.64
193702,3.83,0.02
193703,1.73,-3.06
193704,4.25,-0.13
193705,3.83,-1.00
193706,4.23,-0.60
193707,5.30,-0.15
193708,8.86,3.60
193709,3.66,-0.84
193710,9.58,5.63
193711,3.00,-0.75
193712,2.79,-1.14
193801,3.57,-0.42
193802,3.20,-0.61
193803,4.48,-0.31
193804,3.34,-1.04
193805,7.02,2.19
193806,5.05,0.22
193807,8.75,3.30
193808,4.09,-1.17
193809,3.06,-1.44
193810,0.39,-3.56
193811,6.71,2.96
193812,2.02,-1.91
193901,4.21,0.22
193902,6.35,2.54
193903,3.12,-1.67
193904,3.17,-1.21
193905,2.34,-2.49
193906,4.48,-0.35
193907,7.87,2.42
193908,6.31,1.05
193909,1.78,-2.72
193910,1.33,-2.62
193911,1.55,-2.20
193912,2.52,-1.41
194001,2.30,-1.69
194002,3.60,-0.21
194003,3.38,-1.41
194004,4.57,0.19
194005,3.96,-0.87
194006,5.53,0.70
194007,7.16,1.71
194008,16.05,10.79
194009,0.70,-3.80
194010,2.34,-1.61
194011,3.18,-0.57
194012,3.62,-0.31
194101,1.73,-2.26
194102,1.30,-2.51
194103,3.39,-1.40
194104,2.92,-1.46
194105,1.91,-2.92
194106,4.63,-0.20
194107,10.73,5.28
194108,2.67,-2.59
194109,1.85,-2.65
194110,1.50,-2.45
194111,2.80,-0.95
194112,4.55,0.62
194201,2.94,-1.05
194202,3.44,-0.37
194203,4.67,-0.12
194204,1.42,-2.96
194205,7.51,2.68
194206,7.55,2.72
194207,4.75,-0.70
194208,7.79,2.53
194209,8.43,3.93
194210,2.66,-1.29
194211,2.34,-1.41
194212,5.68,1.75
194301,4.12,0.13
194302,3.28,-0.53
194303,4.59,-0.20
194304,4.37,-0.01
194305,5.01,0.18
194306,4.32,-0.51
194307,7.79,2.34
194308,1.92,-3.34
194309,2.85,-1.65
194310,1.10,-2.85
194311,2.61,-1.14
194312,2.87,-1.06
194401,2.82,-1.17
194402,6.66,2.85
194403,6.66,1.87
194404,3.41,-0.97
194405,3.65,-1.18
194406,1.72,-3.11
194407,5.08,-0.37
194408,4.48,-0.78
194409,7.70,3.20
194410,4.35,0.40
194411,3.41,-0.34
194412,2.64,-1.29
194501,2.54,-1.45
194502,4.80,0.99
194503,4.22,-0.57
194504,5.73,1.35
194505,6.96,2.13
194506,4.07,-0.76
194507,6.43,0.98
194508,3.44,-1.82
194509,11.20,6.70
194510,3.31,-0.64
194511,3.47,-0.28
194512,4.32,0.39
194601,5.54,1.55
194602,3.24,-0.57
194603,5.46,0.67
194604,2.82,-1.56
194605,5.60,0.77
194606,1.88,-2.95
194607,5.73,0.28
194608,2.61,-2.65
194609,2.95,-1.55
194610,3.69,-0.26
194611,2.18,-1.57
194612,2.06,-1.87
194701,7.16,3.17
194702,1.53,-2.28
194703,3.56,-1.23
194704,2.50,-1.88
194705,2.99,-1.84
194706,6.72,1.89
194707,3.33,-2.12
194708,7.44,2.18
194709,4.25,-0.25
194710,8.31,4.36
194711,6.85,3.10
194712,1.21,-2.72
194801,2.84,-1.15
194802,3.90,0.09
194803,5.31,0.52
194804,3.54,-0.84
194805,3.36,-1.47
194806,4.93,0.10
194807,5.18,-0.27
194808,5.87,0.61
194809,5.94,1.44
194810,1.32,-2.63
194811,9.40,5.65
194812,4.44,0.51
194901,3.28,-0.71
194902,3.02,-0.79
194903,4.11,-0.68
194904,5.78,1.40
194905,4.24,-0.59
194906,5.48,0.65
194907,8.62,3.17
194908,10.95,5.69
194909,3.18,-1.32
194910,4.90,0.95
194911,3.13,-0.62
194912,2.77,-1.16
195001,4.06,0.07
195002,3.62,-0.19
195003,5.14,0.35
195004,1.45,-2.93
195005,7.27,2.44
195006,5.63,0.80
195007,5.46,0.01
195008,5.88,0.62
195009,4.85,0.35
195010,2.27,-1.68
195011,2.35,-1.40
195012,5.05,1.12
195101,2.54,-1.45
195102,3.04,-0.77
195103,5.57,0.78
195104,4.13,-0.25
195105,2.53,-2.30
195106,6.01,1.18
195107,5.15,-0.30
195108,2.75,-2.51
195109,3.30,-1.20
195110,1.77,-2.18
195111,4.57,0.82
195112,5.35,1.42
195201,4.28,0.29
195202,3.20,-0.61
195203,6.88,2.09
195204,3.65,-0.73
195205,2.91,-1.92
195206,3.21,-1.62
195207,2.94,-2.51
195208,6.78,1.52
195209,1.57,-2.93
195210,1.11,-2.84
195211,4.72,0.97
195212,3.33,-0.60
195301,4.78,0.79
195302,5.21,1.40
195303,5.63,0.84
195304,2.54,-1.84
195305,3.46,-1.37
195306,5.33,0.50
195307,4.32,-1.13
195308,2.34,-2.92
195309,4.10,-0.40
195310,1.11,-2.84
195311,1.74,-2.01
195312,4.23,0.30
195401,6.86,2.87
195402,3.03,-0.78
195403,6.15,1.36
195404,3.40,-0.98
195405,4.60,-0.23
195406,1.99,-2.84
195407,3.98,-1.47
195408,3.80,-1.46
195409,1.75,-2.75
195410,2.82,-1.13
195411,3.98,0.23
195412,4.21,0.28
195501,1.84,-2.15
195502,4.73,0.92
195503,7.66,2.87
195504,6.07,1.69
195505,3.84,-0.99
195506,3.36,-1.47
195507,5.64,0.19
195508,5.77,0.51
195509,2.04,-2.46
195510,2.76,-1.19
195511,2.85,-0.90
195512,1.62,-2.31
195601,1.90,-2.09
195602,6.65,2.84
195603,4.64,-0.15
195604,5.69,1.31
195605,3.14,-1.69
195606,2.19,-2.64
195607,6.61,1.16
195608,2.07,-3.19
195609,7.08,2.58
195610,3.72,-0.23
195611,2.84,-0.91
195612,3.48,-0.45
195701,6.20,2.21
195702,6.65,2.84
195703,2.58,-2.21
195704,7.57,3.19
195705,4.12,-0.71
195706,8.99,4.16
195707,3.04,-2.41
195708,2.91,-2.35
195709,9.41,4.91
195710,3.04,-0.91
195711,6.73,2.98
195712,4.84,0.91
195801,3.71,-0.28
195802,3.83,0.02
195803,3.85,-0.94
195804,5.91,1.53
195805,5.21,0.38
195806,3.54,-1.29
195807,6.00,0.55
195808,6.03,0.77
195809,1.64,-2.86
195810,2.44,-1.51
195811,2.54,-1.21
195812,4.63,0.70
195901,3.40,-0.59
195902,2.59,-1.22
195903,4.43,-0.36
195904,5.99,1.61
195905,4.05,-0.78
195906,2.81,-2.02
195907,5.86,0.41
195908,5.24,-0.02
195909,8.53,4.03
195910,6.00,2.05
195911,2.95,-0.80
195912,4.12,0.19
196001,3.92,-0.07
196002,6.16,2.35
196003,5.17,0.38
196004,3.16,-1.22
196005,4.28,-0.55
196006,4.17,-0.66
196007,5.66,0.21
196008,5.83,0.57
196009,3.85,-0.65
196010,4.10,0.15
196011,1.66,-2.09
196012,2.09,-1.84
196101,3.26,-0.73
196102,5.61,1.80
196103,4.72,-0.07
196104,4.45,0.07
196105,3.99,-0.84
196106,6.47,1.64
196107,4.44,-1.01
196108,8.59,3.33
196109,2.10,-2.40
196110,3.10,-0.85
196111,4.90,1.15
196112,7.20,3.27
196201,5.30,1.31
196202,4.70,0.89
196203,4.69,-0.10
196204,4.19,-0.19
196205,3.23,-1.60
196206,6.30,1.47
196207,3.59,-1.86
196208,3.00,-2.26
196209,4.88,0.38
196210,2.93,-1.02
196211,5.08,1.33
196212,3.63,-0.30
196301,2.18,-1.81
196302,1.78,-2.03
196303,8.31,3.52
196304,2.63,-1.75
196305,4.60,-0.23
196306,3.33,-1.50
196307,3.96,-1.49
196308,1.94,-3.32
196309,3.15,-1.35
196310,0.20,-3.75
196311,5.08,1.33
196312,1.80,-2.13
196401,5.00,1.01
196402,4.66,0.85
196403,4.43,-0.36
196404,5.18,0.80
196405,2.64,-2.19
196406,2.29,-2.54
196407,6.73,1.28
196408,6.89,1.63
196409,5.21,0.71
196410,7.53,3.58
196411,3.59,-0.16
196412,3.39,-0.54
196501,2.98,-1.01
196502,4.54,0.73
196503,5.84,1.05
196504,4.34,-0.04
196505,4.14,-0.69
196506,4.71,-0.12
196507,4.94,-0.51
196508,3.74,-1.52
196509,3.23,-1.27
196510,4.46,0.51
196511,1.42,-2.33
196512,0.43,-3.50
196601,3.78,-0.21
196602,7.17,3.36
196603,2.09,-2.70
196604,5.08,0.70
196605,4.06,-0.77
196606,2.80,-2.03
196607,5.22,-0.23
196608,6.66,1.40
196609,7.44,2.94
196610,4.57,0.62
196611,4.81,1.06
196612,3.78,-0.15
196701,2.46,-1.53
196702,2.91,-0.90
196703,3.77,-1.02
196704,2.41,-1.97
196705,5.45,0.62
196706,3.48,-1.35
196707,6.58,1.13
196708,6.78,1.52
196709,4.63,0.13
196710,3.44,-0.51
196711,2.73,-1.02
196712,5.01,1.08
196801,4.23,0.24
196802,0.46,-3.35
196803,4.57,-0.22
196804,4.27,-0.11
196805,4.25,-0.58
196806,4.18,-0.65
196807,4.24,-1.21
196808,3.45,-1.81
196809,2.59,-1.91
196810,7.29,3.34
196811,3.25,-0.50
196812,2.93,-1.00
196901,2.87,-1.12
196902,4.69,0.88
196903,4.28,-0.51
196904,4.47,0.09
196905,3.29,-1.54
196906,7.42,2.59
196907,4.81,-0.64
196908,5.53,0.27
196909,4.94,0.44
196910,3.36,-0.59
196911,4.67,0.92
196912,5.64,1.71
197001,1.87,-2.12
197002,3.03,-0.78
197003,3.31,-1.48
197004,4.87,0.49
197005,2.70,-2.13
197006,3.49,-1.34
197007,4.86,-0.59
197008,9.28,4.02
197009,2.03,-2.47
197010,7.20,3.25
197011,3.26,-0.49
197012,1.99,-1.94
197101,3.24,-0.75
197102,5.29,1.48
197103,3.42,-1.37
197104,3.12,-1.26
197105,6.53,1.70
197106,3.41,-1.42
197107,7.72,2.27
197108,4.30,-0.96
197109,5.17,0.67
197110,7.40,3.45
197111,3.62,-0.13
197112,2.95,-0.98
197201,4.06,0.07
197202,3.64,-0.17
197203,4.37,-0.42
197204,3.31,-1.07
197205,7.27,2.44
197206,7.51,2.68
197207,4.05,-1.40
197208,2.25,-3.01
197209,4.44,-0.06
197210,3.48,-0.47
197211,4.37,0.62
197212,4.86,0.93
197301,3.73,-0.26
197302,4.06,0.25
197303,9.08,4.29
197304,5.65,1.27
197305,7.79,2.96
197306,4.46,-0.37
197307,4.50,-0.95
197308,4.76,-0.50
197309,3.71,-0.79
197310,3.49,-0.46
197311,3.68,-0.07
197312,7.24,3.31
197401,4.76,0.77
197402,4.07,0.26
197403,4.64,-0.15
197404,5.54,1.16
197405,5.66,0.83
197406,7.69,2.86
197407,3.96,-1.49
197408,6.43,1.17
197409,7.00,2.50
197410,1.78,-2.17
197411,2.88,-0.87
197412,3.94,0.01
197501,3.96,-0.03
197502,4.51,0.70
197503,9.46,4.67
197504,1.25,-3.13
197505,8.28,3.45
197506,5.98,1.15
197507,4.29,-1.16
197508,3.05,-2.21
197509,8.36,3.86
197510,5.47,1.52
197511,3.64,-0.11
197512,2.93,-1.00
197601,4.23,0.24
197602,2.59,-1.22
197603,3.38,-1.41
197604,1.18,-3.20
197605,7.85,3.02
197606,9.42,4.59
197607,2.49,-2.96
197608,2.62,-2.64
197609,5.12,0.62
197610,9.31,5.36
197611,1.83,-1.92
197612,4.29,0.36
197701,2.86,-1.13
197702,2.02,-1.79
197703,7.35,2.56
197704,5.48,1.10
197705,4.49,-0.34
197706,6.28,1.45
197707,2.39,-3.06
197708,5.02,-0.24
197709,6.06,1.56
197710,5.97,2.02
197711,11.53,7.78
197712,3.19,-0.74
197801,6.53,2.54
197802,0.85,-2.96
197803,5.87,1.08
197804,3.27,-1.11
197805,4.75,-0.08
197806,2.32,-2.51
197807,2.78,-2.67
197808,8.25,2.99
197809,2.19,-2.31
197810,0.71,-3.24
197811,3.08,-0.67
197812,4.16,0.23
197901,6.42,2.43
197902,5.01,1.20
197903,10.11,5.32
197904,5.74,1.36
197905,5.27,0.44
197906,5.16,0.33
197907,6.28,0.83
197908,2.98,-2.28
197909,14.79,10.29
197910,2.88,-1.07
197911,8.27,4.52
197912,1.60,-2.33
198001,3.91,-0.08
198002,1.16,-2.65
198003,6.92,2.13
198004,7.43,3.05
198005,4.19,-0.64
198006,3.91,-0.92
198007,5.36,-0.09
198008,2.69,-2.57
198009,3.75,-0.75
198010,3.39,-0.56
198011,2.37,-1.38
198012,1.00,-2.93
198101,1.05,-2.94
198102,5.27,1.46
198103,3.95,-0.84
198104,2.78,-1.60
198105,7.72,2.89
198106,3.73,-1.10
198107,3.81,-1.64
198108,1.10,-4.16
198109,3.51,-0.99
198110,2.76,-1.19
198111,1.12,-2.63
198112,3.90,-0.03
198201,5.06,1.07
198202,6.48,2.67
198203,2.63,-2.16
198204,3.97,-0.41
198205,4.94,0.11
198206,4.21,-0.62
198207,4.89,-0.56
198208,4.07,-1.19
198209,3.30,-1.20
198210,3.45,-0.50
198211,4.66,0.91
198212,5.34,1.41
198301,3.75,-0.24
198302,5.68,1.87
198303,7.97,3.18
198304,7.26,2.88
198305,5.41,0.58
198306,4.88,0.05
198307,1.91,-3.54
198308,2.56,-2.70
198309,2.96,-1.54
198310,6.02,2.07
198311,4.47,0.72
198312,6.43,2.50
198401,1.87,-2.12
198402,6.72,2.91
198403,3.91,-0.88
198404,4.73,0.35
198405,7.66,2.83
198406,3.99,-0.84
198407,6.42,0.97
198408,3.59,-1.67
198409,0.48,-4.02
198410,2.97,-0.98
198411,4.08,0.33
198412,1.20,-2.73
198501,2.93,-1.06
198502,3.95,0.14
198503,1.48,-3.31
198504,3.78,-0.60
198505,4.10,-0.73
198506,3.86,-0.97
198507,5.40,-0.05
198508,7.45,2.19
198509,0.99,-3.51
198510,3.19,-0.76
198511,9.49,5.74
198512,1.10,-2.83
198601,2.05,-1.94
198602,2.78,-1.03
198603,2.71,-2.08
198604,0.74,-3.64
198605,4.99,0.16
198606,1.19,-3.64
198607,3.98,-1.47
198608,5.27,0.01
198609,4.00,-0.50
198610,3.54,-0.41
198611,4.23,0.48
198612,5.52,1.59
198701,4.11,0.12
198702,4.65,0.84
198703,5.01,0.22
198704,8.63,4.25
198705,3.13,-1.70
198706,4.56,-0.27
198707,3.31,-2.14
198708,1.76,-3.50
198709,6.01,1.51
198710,1.20,-2.75
198711,4.78,1.03
198712,3.30,-0.63
198801,2.47,-1.52
198802,1.84,-1.97
198803,1.35,-3.44
198804,4.51,0.13
198805,2.45,-2.38
198806,2.19,-2.64
198807,4.94,-0.51
198808,3.73,-1.53
198809,4.33,-0.17
198810,2.03,-1.92
198811,4.78,1.03
198812,1.41,-2.52
198901,2.54,-1.45
198902,4.21,0.40
198903,3.41,-1.38
198904,3.33,-1.05
198905,4.81,-0.02
198906,7.53,2.70
198907,9.16,3.71
198908,4.58,-0.68
198909,9.43,4.93
198910,4.56,0.61
198911,4.19,0.44
198912,2.83,-1.10
199001,4.47,0.48
199002,5.69,1.88
199003,5.84,1.05
199004,2.62,-1.76
199005,5.78,0.95
199006,1.59,-3.24
199007,5.59,0.14
199008,6.16,0.90
199009,1.84,-2.66
199010,12.35,8.40
199011,1.82,-1.93
199012,4.57,0.64
199101,3.33,-0.66
199102,3.13,-0.68
199103,7.37,2.58
199104,5.91,1.53
199105,5.15,0.32
199106,4.58,-0.25
199107,4.46,-0.99
199108,3.60,-1.66
199109,2.51,-1.99
199110,0.61,-3.34
199111,4.06,0.31
199112,4.67,0.74
199201,4.05,0.06
199202,3.34,-0.47
199203,3.91,-0.88
199204,5.95,1.57
199205,6.63,1.80
199206,8.21,3.38
199207,4.98,-0.47
199208,6.37,1.11
199209,3.71,-0.79
199210,5.40,1.45
199211,8.72,4.97
199212,3.80,-0.13
199301,3.84,-0.15
199302,3.44,-0.37
199303,8.02,3.23
199304,3.90,-0.48
199305,4.96,0.13
199306,1.54,-3.29
199307,2.55,-2.90
199308,3.51,-1.75
199309,3.57,-0.93
199310,2.04,-1.91
199311,3.01,-0.74
199312,5.08,1.15
199401,5.08,1.09
199402,4.85,1.04
199403,7.40,2.61
199404,4.23,-0.15
199405,2.84,-1.99
199406,4.97,0.14
199407,6.07,0.62
199408,10.11,4.85
199409,2.87,-1.63
199410,3.38,-0.57
199411,2.59,-1.16
